id	related_id	class	type/scale	name	relevance	text	help	language	validation	mandatory	other	default	same_default	always_hide	hide_tip	answer_width	random_group	em_validation_q	em_validation_q_tip
36		Q	F	A02V1B	1	"<h4 style=""margin-bottom:8px;"">Explanation B</h4><div style=""border:1px solid #d0d5dd;border-left:5px solid #d4a72c;border-radius:7px;
            padding:15px 17px;margin:12px 0;background:#ffffff;line-height:1.65;"">
  <div style=""font-weight:700;margin-bottom:7px;"">Highlighted argument</div>
  <div><span style=""background-color:#fff1a8;padding:1px 3px;border-radius:3px;font-weight:600;"">yes and most of</span> them <span style=""background-color:#fff1a8;padding:1px 3px;border-radius:3px;font-weight:600;"">are hypocrites. our DUI</span> judge places people <span style=""background-color:#fff1a8;padding:1px 3px;border-radius:3px;font-weight:600;"">in jail,</span> takes away <span style=""background-color:#fff1a8;padding:1px 3px;border-radius:3px;font-weight:600;"">their</span> freedom<span style=""background-color:#fff1a8;padding:1px 3px;border-radius:3px;font-weight:600;"">, but it&#x27;s</span> okay <span style=""background-color:#fff1a8;padding:1px 3px;border-radius:3px;font-weight:600;"">for</span> him <span style=""background-color:#fff1a8;padding:1px 3px;border-radius:3px;font-weight:600;"">to</span> sit <span style=""background-color:#fff1a8;padding:1px 3px;border-radius:3px;font-weight:600;"">on the</span> bench <span style=""background-color:#fff1a8;padding:1px 3px;border-radius:3px;font-weight:600;"">drunk. the</span> whole town knows it<span style=""background-color:#fff1a8;padding:1px 3px;border-radius:3px;font-weight:600;"">, the</span> lawyers<span style=""background-color:#fff1a8;padding:1px 3px;border-radius:3px;font-weight:600;"">, the cops, etc. we</span> watched <span style=""background-color:#fff1a8;padding:1px 3px;border-radius:3px;font-weight:600;"">the cops</span> pull him over one night <span style=""background-color:#fff1a8;padding:1px 3px;border-radius:3px;font-weight:600;"">and they</span> gave him <span style=""background-color:#fff1a8;padding:1px 3px;border-radius:3px;font-weight:600;"">a</span> ride home<span style=""background-color:#fff1a8;padding:1px 3px;border-radius:3px;font-weight:600;"">, (</span>we followed<span style=""background-color:#fff1a8;padding:1px 3px;border-radius:3px;font-weight:600;"">), but</span> how can <span style=""background-color:#fff1a8;padding:1px 3px;border-radius:3px;font-weight:600;"">you</span> fight <span style=""background-color:#fff1a8;padding:1px 3px;border-radius:3px;font-weight:600;"">it?</span></div>
</div><p style=""margin-top:10px;"">Rate this explanation on both criteria.</p>"		en		Y				0	1				
37		SQ	0	COM	1	Completeness: How completely do the highlighted spans cover the parts of the argument that could reasonably explain why it is inappropriate?		en											
38		SQ	0	PRE	1	Precision: How precisely do the highlighted spans focus on those parts without including unnecessary or unrelated text?		en											
36		A	0	1	1	1 – Very low		en											
36		A	0	2	2	2		en											
36		A	0	3	3	3		en											
36		A	0	4	4	4 – Moderate		en											
36		A	0	5	5	5		en											
36		A	0	6	6	6		en											
36		A	0	7	7	7 – Very high		en											
39		Q	F	A02V1C	1	"<h4 style=""margin-bottom:8px;"">Explanation C</h4><div style=""border:1px solid #d0d5dd;border-left:5px solid #d4a72c;border-radius:7px;
            padding:15px 17px;margin:12px 0;background:#ffffff;line-height:1.65;"">
  <div style=""font-weight:700;margin-bottom:7px;"">Highlighted argument</div>
  <div>yes and <span style=""background-color:#fff1a8;padding:1px 3px;border-radius:3px;font-weight:600;"">most of them are hypocrites</span>. our DUI judge places people in jail, takes away their freedom, but it&#x27;s okay for him to <span style=""background-color:#fff1a8;padding:1px 3px;border-radius:3px;font-weight:600;"">sit on the bench drunk</span>. the whole town knows it, the lawyers, the cops, etc. we watched the cops pull him over one night and they gave him a ride home, (we followed), but how can you fight it?</div>
</div><p style=""margin-top:10px;"">Rate this explanation on both criteria.</p>"		en		Y				0	1				
40		SQ	0	COM	1	Completeness: How completely do the highlighted spans cover the parts of the argument that could reasonably explain why it is inappropriate?		en											
41		SQ	0	PRE	1	Precision: How precisely do the highlighted spans focus on those parts without including unnecessary or unrelated text?		en											
39		A	0	1	1	1 – Very low		en											
39		A	0	2	2	2		en											
39		A	0	3	3	3		en											
39		A	0	4	4	4 – Moderate		en											
39		A	0	5	5	5		en											
39		A	0	6	6	6		en											
39		A	0	7	7	7 – Very high		en											
