global_row_id,argument_index,display_position,version,display_label,method_id,rating_question_code,ranking_question_code,comment_question_code
2088,2,5,2,C,tfidf,A02V2C,A02V2R,A02V2CMT
2088,2,5,2,D,mil,A02V2D,A02V2R,A02V2CMT
1969,1,6,2,A,ig,A01V2A,A01V2R,A01V2CMT
1969,1,6,2,B,attention,A01V2B,A01V2R,A01V2CMT
1969,1,6,2,C,llm,A01V2C,A01V2R,A01V2CMT
1969,1,6,2,D,random,A01V2D,A01V2R,A01V2CMT
1847,5,7,2,A,mil,A05V2A,A05V2R,A05V2CMT
1847,5,7,2,B,random,A05V2B,A05V2R,A05V2CMT
1847,5,7,2,C,shap,A05V2C,A05V2R,A05V2CMT
1847,5,7,2,D,ig,A05V2D,A05V2R,A05V2CMT
2150,7,1,3,A,ig,A07V3A,A07V3R,A07V3CMT
2150,7,1,3,B,attention,A07V3B,A07V3R,A07V3CMT
2150,7,1,3,C,llm,A07V3C,A07V3R,A07V3CMT
2150,7,1,3,D,random,A07V3D,A07V3R,A07V3CMT
1847,5,2,3,A,llm,A05V3A,A05V3R,A05V3CMT
1847,5,2,3,B,tfidf,A05V3B,A05V3R,A05V3CMT
1847,5,2,3,C,ig,A05V3C,A05V3R,A05V3CMT
1847,5,2,3,D,shap,A05V3D,A05V3R,A05V3CMT
1969,1,3,3,A,attention,A01V3A,A01V3R,A01V3CMT
1969,1,3,3,B,ig,A01V3B,A01V3R,A01V3CMT
1969,1,3,3,C,tfidf,A01V3C,A01V3R,A01V3CMT
1969,1,3,3,D,mil,A01V3D,A01V3R,A01V3CMT
1821,3,4,3,A,random,A03V3A,A03V3R,A03V3CMT
1821,3,4,3,B,shap,A03V3B,A03V3R,A03V3CMT
1821,3,4,3,C,attention,A03V3C,A03V3R,A03V3CMT
1821,3,4,3,D,tfidf,A03V3D,A03V3R,A03V3CMT
2088,2,5,3,A,shap,A02V3A,A02V3R,A02V3CMT
2088,2,5,3,B,llm,A02V3B,A02V3R,A02V3CMT
2088,2,5,3,C,mil,A02V3C,A02V3R,A02V3CMT
2088,2,5,3,D,attention,A02V3D,A02V3R,A02V3CMT
2047,4,6,3,A,mil,A04V3A,A04V3R,A04V3CMT
2047,4,6,3,B,random,A04V3B,A04V3R,A04V3CMT
2047,4,6,3,C,shap,A04V3C,A04V3R,A04V3CMT
2047,4,6,3,D,ig,A04V3D,A04V3R,A04V3CMT
2074,6,7,3,A,tfidf,A06V3A,A06V3R,A06V3CMT
2074,6,7,3,B,mil,A06V3B,A06V3R,A06V3CMT
2074,6,7,3,C,random,A06V3C,A06V3R,A06V3CMT
2074,6,7,3,D,llm,A06V3D,A06V3R,A06V3CMT
2074,6,1,4,A,ig,A06V4A,A06V4R,A06V4CMT
2074,6,1,4,B,attention,A06V4B,A06V4R,A06V4CMT
2074,6,1,4,C,llm,A06V4C,A06V4R,A06V4CMT
2074,6,1,4,D,random,A06V4D,A06V4R,A06V4CMT
2088,2,2,4,A,random,A02V4A,A02V4R,A02V4CMT
2088,2,2,4,B,shap,A02V4B,A02V4R,A02V4CMT
2088,2,2,4,C,attention,A02V4C,A02V4R,A02V4CMT
2088,2,2,4,D,tfidf,A02V4D,A02V4R,A02V4CMT
1847,5,3,4,A,tfidf,A05V4A,A05V4R,A05V4CMT
1847,5,3,4,B,mil,A05V4B,A05V4R,A05V4CMT
1847,5,3,4,C,random,A05V4C,A05V4R,A05V4CMT
1847,5,3,4,D,llm,A05V4D,A05V4R,A05V4CMT
2150,7,4,4,A,attention,A07V4A,A07V4R,A07V4CMT
2150,7,4,4,B,ig,A07V4B,A07V4R,A07V4CMT
2150,7,4,4,C,tfidf,A07V4C,A07V4R,A07V4CMT
2150,7,4,4,D,mil,A07V4D,A07V4R,A07V4CMT
1969,1,5,4,A,shap,A01V4A,A01V4R,A01V4CMT
1969,1,5,4,B,llm,A01V4B,A01V4R,A01V4CMT
1969,1,5,4,C,mil,A01V4C,A01V4R,A01V4CMT
1969,1,5,4,D,attention,A01V4D,A01V4R,A01V4CMT
1821,3,6,4,A,mil,A03V4A,A03V4R,A03V4CMT
1821,3,6,4,B,random,A03V4B,A03V4R,A03V4CMT
1821,3,6,4,C,shap,A03V4C,A03V4R,A03V4CMT
1821,3,6,4,D,ig,A03V4D,A03V4R,A03V4CMT
2047,4,7,4,A,llm,A04V4A,A04V4R,A04V4CMT
2047,4,7,4,B,tfidf,A04V4B,A04V4R,A04V4CMT
2047,4,7,4,C,ig,A04V4C,A04V4R,A04V4CMT
2047,4,7,4,D,shap,A04V4D,A04V4R,A04V4CMT
2047,4,1,5,A,tfidf,A04V5A,A04V5R,A04V5CMT
2047,4,1,5,B,mil,A04V5B,A04V5R,A04V5CMT
2047,4,1,5,C,random,A04V5C,A04V5R,A04V5CMT
2047,4,1,5,D,llm,A04V5D,A04V5R,A04V5CMT
2150,7,2,5,A,shap,A07V5A,A07V5R,A07V5CMT
2150,7,2,5,B,llm,A07V5B,A07V5R,A07V5CMT
2150,7,2,5,C,mil,A07V5C,A07V5R,A07V5CMT
2150,7,2,5,D,attention,A07V5D,A07V5R,A07V5CMT
1847,5,3,5,A,ig,A05V5A,A05V5R,A05V5CMT
1847,5,3,5,B,attention,A05V5B,A05V5R,A05V5CMT
1847,5,3,5,C,llm,A05V5C,A05V5R,A05V5CMT
1847,5,3,5,D,random,A05V5D,A05V5R,A05V5CMT
2074,6,4,5,A,attention,A06V5A,A06V5R,A06V5CMT
2074,6,4,5,B,ig,A06V5B,A06V5R,A06V5CMT
2074,6,4,5,C,tfidf,A06V5C,A06V5R,A06V5CMT
2074,6,4,5,D,mil,A06V5D,A06V5R,A06V5CMT
2088,2,5,5,A,mil,A02V5A,A02V5R,A02V5CMT
2088,2,5,5,B,random,A02V5B,A02V5R,A02V5CMT
2088,2,5,5,C,shap,A02V5C,A02V5R,A02V5CMT
2088,2,5,5,D,ig,A02V5D,A02V5R,A02V5CMT
1821,3,6,5,A,llm,A03V5A,A03V5R,A03V5CMT
1821,3,6,5,B,tfidf,A03V5B,A03V5R,A03V5CMT
1821,3,6,5,C,ig,A03V5C,A03V5R,A03V5CMT
1821,3,6,5,D,shap,A03V5D,A03V5R,A03V5CMT
1969,1,7,5,A,random,A01V5A,A01V5R,A01V5CMT
1969,1,7,5,B,shap,A01V5B,A01V5R,A01V5CMT
1969,1,7,5,C,attention,A01V5C,A01V5R,A01V5CMT
1969,1,7,5,D,tfidf,A01V5D,A01V5R,A01V5CMT
1821,3,1,6,A,tfidf,A03V6A,A03V6R,A03V6CMT
1821,3,1,6,B,mil,A03V6B,A03V6R,A03V6CMT
1821,3,1,6,C,random,A03V6C,A03V6R,A03V6CMT
1821,3,1,6,D,llm,A03V6D,A03V6R,A03V6CMT
2088,2,2,6,A,llm,A02V6A,A02V6R,A02V6CMT
2088,2,2,6,B,tfidf,A02V6B,A02V6R,A02V6CMT
2088,2,2,6,C,ig,A02V6C,A02V6R,A02V6CMT
2088,2,2,6,D,shap,A02V6D,A02V6R,A02V6CMT
2150,7,3,6,A,random,A07V6A,A07V6R,A07V6CMT
2150,7,3,6,B,shap,A07V6B,A07V6R,A07V6CMT
2150,7,3,6,C,attention,A07V6C,A07V6R,A07V6CMT
2150,7,3,6,D,tfidf,A07V6D,A07V6R,A07V6CMT
1969,1,4,6,A,mil,A01V6A,A01V6R,A01V6CMT
1969,1,4,6,B,random,A01V6B,A01V6R,A01V6CMT
1969,1,4,6,C,shap,A01V6C,A01V6R,A01V6CMT
1969,1,4,6,D,ig,A01V6D,A01V6R,A01V6CMT
2074,6,5,6,A,shap,A06V6A,A06V6R,A06V6CMT
2074,6,5,6,B,llm,A06V6B,A06V6R,A06V6CMT
2074,6,5,6,C,mil,A06V6C,A06V6R,A06V6CMT
2074,6,5,6,D,attention,A06V6D,A06V6R,A06V6CMT
1847,5,6,6,A,attention,A05V6A,A05V6R,A05V6CMT
1847,5,6,6,B,ig,A05V6B,A05V6R,A05V6CMT
1847,5,6,6,C,tfidf,A05V6C,A05V6R,A05V6CMT
1847,5,6,6,D,mil,A05V6D,A05V6R,A05V6CMT
2047,4,7,6,A,ig,A04V6A,A04V6R,A04V6CMT
2047,4,7,6,B,attention,A04V6B,A04V6R,A04V6CMT
2047,4,7,6,C,llm,A04V6C,A04V6R,A04V6CMT
2047,4,7,6,D,random,A04V6D,A04V6R,A04V6CMT
1821,3,1,7,A,ig,A03V7A,A03V7R,A03V7CMT
1821,3,1,7,B,attention,A03V7B,A03V7R,A03V7CMT
1821,3,1,7,C,llm,A03V7C,A03V7R,A03V7CMT
1821,3,1,7,D,random,A03V7D,A03V7R,A03V7CMT
1969,1,2,7,A,llm,A01V7A,A01V7R,A01V7CMT
1969,1,2,7,B,tfidf,A01V7B,A01V7R,A01V7CMT
1969,1,2,7,C,ig,A01V7C,A01V7R,A01V7CMT
1969,1,2,7,D,shap,A01V7D,A01V7R,A01V7CMT
2047,4,3,7,A,attention,A04V7A,A04V7R,A04V7CMT
2047,4,3,7,B,ig,A04V7B,A04V7R,A04V7CMT
2047,4,3,7,C,tfidf,A04V7C,A04V7R,A04V7CMT
2047,4,3,7,D,mil,A04V7D,A04V7R,A04V7CMT
2074,6,4,7,A,random,A06V7A,A06V7R,A06V7CMT
2074,6,4,7,B,shap,A06V7B,A06V7R,A06V7CMT
2074,6,4,7,C,attention,A06V7C,A06V7R,A06V7CMT
2074,6,4,7,D,tfidf,A06V7D,A06V7R,A06V7CMT
2150,7,5,7,A,mil,A07V7A,A07V7R,A07V7CMT
2150,7,5,7,B,random,A07V7B,A07V7R,A07V7CMT
2150,7,5,7,C,shap,A07V7C,A07V7R,A07V7CMT
2150,7,5,7,D,ig,A07V7D,A07V7R,A07V7CMT
2088,2,6,7,A,tfidf,A02V7A,A02V7R,A02V7CMT
2088,2,6,7,B,mil,A02V7B,A02V7R,A02V7CMT
2088,2,6,7,C,random,A02V7C,A02V7R,A02V7CMT
2088,2,6,7,D,llm,A02V7D,A02V7R,A02V7CMT
1847,5,7,7,A,shap,A05V7A,A05V7R,A05V7CMT
1847,5,7,7,B,llm,A05V7B,A05V7R,A05V7CMT
1847,5,7,7,C,mil,A05V7C,A05V7R,A05V7CMT
1847,5,7,7,D,attention,A05V7D,A05V7R,A05V7CMT
