global_row_id,post_id,split,issue,argument,Inappropriateness,p_inappropriate,llm_span_text,llm_char_start_original,llm_char_end_original,llm_char_start,llm_char_end,llm_confidence,llm_valid,llm_fixed_offsets,llm_error,model_name
182,265,train,"What do you beleive the first amandment protects example: gay marriages, obortions etc...?:","The first amendment, among other things, protects the individual's freedom to associate with whomever he chooses.  As far as I'm concerned, if two fellas want to free associate, they can do it as much as they like.  But the day you tell me that marrying another man is mandatory, that's the day when I leave the US.  Nobody's gonna force me to get gay married.",1,0.9973106384277344,marrying another man is mandatory,244,277,245,278,0.9,True,True,,gemini-3-flash-preview
189,276,train,Cmv: i don't believe climate change is happening.:,"To clarify, I don't believe the World's climate is static and unchanging, I just don't think it is nearly as dramatic as the media says. I dispute any major warming in recent times, and believe the whole climate change agenda is simply environmental lobbyists backed by politicians who can no longer refute the issue and still maintain their credibility. I used to be into the scientific side of it a lot, but I haven't for a while, although I will be corresponding with a mate of mine who is of the same opinion as me who is knowledgeable in the science. 

I have a fundamental distrust of most of the media in Australia (where I live), but I can't comment on the American media. I think it would be political suicide for any politician considering climate change 'denialists' are being hounded down by pretty much everyone. 

Skepticism and opposition to conventional scientific thinking is only a good thing, and I think the extent to which any skepticism of climate change is disregarded is appalling. ",1,0.99617600440979,climate change agenda is simply environmental lobbyists backed by politicians,204,281,204,281,0.9,True,False,,gemini-3-flash-preview
226,329,train,Evolution vs creation:,"Debates are based on convincing evidence. There is very little evidence supporting creation, while there are massive amounts supporting an evolutionary argument.
True. But, evidence must withstand the test of accepted truth. We can't say that creation is false, because there is no explanation provided for the origins of the ""particles"" that caused the evolution theory. Although the evolution theory is interesting, and quite possible, it does not rule out creation. Since creation cannot be ruled out in any way, and evolution can, creation is the best possible theory.",1,0.9919998645782472,"Since creation cannot be ruled out in any way, and evolution can, creation is the best possible theory.",358,461,470,573,0.8,True,True,,gemini-3-flash-preview
235,341,train,Evolution vs creation:,"If you can, then please do so. Illuminate us with your facts!
Do you have brain scans of the first humans? How about average organ sizes? Hair patterns? Facial characteristics? Heart rate records?
Speaking of these factors, how do you sabrejimmy account for the different racial characteristics of modern humans? I'm married to a Japanese woman. Why do we look so different?
Was there in fact an Asian Garden of Eden? And an African Garden of Eden? And a ...
What do you actually believe anyhow?",1,0.99840646982193,Illuminate us with your facts!,31,61,31,61,0.9,True,False,,gemini-3-flash-preview
254,364,train,Gay marriage right or wrong:,"For anyone who tries to follow these threads of arguments and rebuttals, it looks like chasbas' argument which I rebutted on Feb 07, 2007 07:09 has been deleted, presumably by chasbas. I wish the argument/rebuttal system on the site were better.",1,0.9724804759025574,I wish the argument/rebuttal system on the site were better.,184,244,185,245,0.95,True,True,,gemini-3-flash-preview
278,396,train,Yea so i'm really drunk right now and i have a question.?:,"This guy's actually got a point. I'm not so sure on the specifics of any yahoo involvement, but I do know for certain that the Chinese government is very oppressive to anyone who questions its motives or policies. Instances may have tailed off over recent years, but beatings and torture are still a regular part of protocol there. America simply chooses to ignore it because we're more concerned with preserving our good economic relations with China, even though a lot of the cheap labor we outsource there is indeed done by slaves. We really should wake up and start seeing the truth.",1,0.9983086585998536,This guy's actually got a point.,0,32,0,32,0.9,True,False,,gemini-3-flash-preview
291,412,train,If most of the time a womans reason for getting an abortion have nothing to do with rape and incest?:,"Because in order to deflect from the fact that most women are killing their babies because they're 'inconvenient', they have to do a lot of scaremongering.

So you have the 'rape' and 'incest' scare factors, and throw in the 'back-alley coathanger dying by the 1,000's' myth, and you've eliminated the picture of a tiny baby being chopped up and vaccuumed out, or being burned in a brine solution, or having its head pierced and its brains sucked out.

I guess the feminists are still following Margaret Sanger's eugenicist desire to have fewer minority babies.",1,0.99797385931015,having its head pierced and its brains sucked out,402,451,403,452,0.95,True,True,,gemini-3-flash-preview
301,431,train,"Cmv: i believe that after a marriage is over, both parties should walk away without receiving anything, for example alimony, from their ex.:","After a marriage ends, if a pre-nup wasn't signed that is, one partner usually receive alimony from the other. I think this is wrong, and selfish of the people who receive them.

If someone gets a divorce from someone, they want nothing to do with that person again, and yet they are forced to continue to hand them their hard worked for money. It's stupid I think.

If a person knows that if they divorce someone, they will have to work out their lifestyle on their own, it would help them really consider their choice and options. 

Obviously if they had kids together the partner should send the person the kids are mostly with child support to help take care of the children, but money just to take care of the adult they didn't want to be with anymore? hell no. They can get a job.

CMV!

_____
",1,0.9980554580688475,hell no. They can get a job.,758,786,764,792,1.0,True,True,,gemini-3-flash-preview
314,451,train,Torture: can the u.s. justify it?   stance: no:,"The points against torture are numerous, but the most important one is IT DOESN'T WORK. All of these ""ticking time bomb"" scenarios are fantasy right out of ""24"". That just does not happen in the real world. Another point against it: aren't we supposed to be the good guys? How in the world do we expect to keep our supposed moral superiority when we debase ourselves by stooping to the level of our enemies? If someone wants to argue we need to get down to our enemies level to really be effective in the war on terror, shouldn't we have rounded up all the German-Americans in WWII and burned them in ovens? Shouldn't we have gotten down to the German level to be really effective? I don't think the U.S. can seriously dictate to other countries when it doesn't follow the dictates of its own Constitution.",1,0.9984062314033508,shouldn't we have rounded up all the German-Americans in WWII and burned them in ovens?,519,606,520,607,0.9,True,True,,gemini-3-flash-preview
316,453,train,Possible ld topic: should limiting economic inequality be a more important social goal than maximizing economic freedom?   stance: limiting econ inequality > maximizing econ freedom:,"The poor needs help! The rich will get richier and the poor will get poorer unless we intervene. And having poor people exploited is bad for society. No heathcare, no political and legal representation, and there will be blood spilled with a revolution (as we have seen in Cuba, Russia, and China), and it will usually result in a dictatorship. This does not mean taxing people 20%, rather, it just means making it a societal goal to help the poor and invest in the people.",1,0.997443675994873,there will be blood spilled with a revolution,207,252,207,252,0.9,True,False,,gemini-3-flash-preview
344,491,train,Evolution vs creation:,"What I meant was that in the situation, both moths were present at the time of the observation - both colored moths were on the trees to begin with...
""Then the darkness was selected for when the environment changed during the Industrial Revolution.""
-Who selects this mutation to occur? Does it just happen by good fortune?",1,0.9980319142341614,Does it just happen by good fortune?,289,325,290,326,0.85,True,True,,gemini-3-flash-preview
352,503,train,Evolution vs creation:,There is not God. I just use him in my arguments to make sarcastic comments. Sorry.,1,0.9979450106620787,I just use him in my arguments to make sarcastic comments.,18,76,18,76,0.95,True,False,,gemini-3-flash-preview
368,532,train,Christianity or atheism:,This is the most idiotic debate i have ever seen. HOW you tell me please hoe did we get so perfect were the earth and sun and moon is in the right spot and are bodys function perfectly are hands made distinctively. Cause we were made after his own image.,1,0.997844099998474,most idiotic debate i have ever seen,12,48,12,48,0.95,True,False,,gemini-3-flash-preview
394,567,train,Should same sex parents be able to have kids?:,"In my opinion, no. How would that effect the child is the first concern. When the child is small wouldn't be the issue, but as he/she entered school it would most defiantly get ridiculed by the other kids and have emotional stress/problems from this. This would really confuse the kid! I don't care what anyone says, a child needs a MOTHER and a FATHER. Not two women, and not two men.",1,0.9975861310958862,I don't care what anyone says,285,314,286,315,0.9,True,True,,gemini-3-flash-preview
411,589,train,Cmv: the government should stop recognizing all marriages.:,"I really see no benefits in governmen recognition of marriages. 

First, the benefits: no more fights about what marriage is. If you want to get married by your church - you still can. If you want to marry your homosexual partner in a civil ceremony - you can. Government does not care. Instant equality.

Second, this would cut down on bureaucracy. No marriage - no messy divorces. Instant efficiency.

Now to address some anticipated counter points:

The inheritance/hospital visitation issues can be handled though contracts (government can even make it much easier to get/sign those forms.) If you could take time to sign up for the marriage licence, you can just as easily sign some contract papers.

As for the tax benefits: why should married people get tax deductions?  Sounds pretty unfair to me. If we, as a society want to encourage child rearing - we can do so directly by giving tax breaks to people who have and rare children, not indirectly through marriage.

CMV.",1,0.9983903169631958,No marriage - no messy divorces,350,381,354,385,0.85,True,True,,gemini-3-flash-preview
458,660,train,Firefox vs internet explorer:,Chorme beats all its the fastest and the safest plus its also open source like firefox,1,0.9971315860748292,Chorme beats all,0,16,0,16,0.9,True,False,,gemini-3-flash-preview
469,673,train,Is the school uniform a good or bad idea:,"yas,of course . School uniform is important
1.school uniform is a logos for our school
2.to remind us that we are part of the school
3.and if we use the uniform basically student used to think what are they gonna do to, is it positive or negative
4.in the morning we should use our uniform and if were not use our uniform the teacher give us a punishment and from that we can learn to be a discipline student
5.if we go out from the school than the teacher will see we used the school uniform so people will know that we from that school
thankyou",1,0.9780550599098206,"yas,of course",0,13,0,13,0.9,True,False,,gemini-3-flash-preview
498,719,train,Is humanity in the final steps of becoming into slavery?:,"Thanks for bringing up this important issue.
Most of the things you mentioned have beneficial uses.  The danger if they are misused.  I think the Bush administration has demonstrated how our rights can be undermined.  They are talking of retaining the prisoners in Cuba for the rest of their lives, without charges or benefit of legal defense.
The only way to protect our rights is to participate in the process of government.  I hope anyone who reads this is ready to defend liberty with their vote on the 7th.",1,0.9967532753944396,Bush administration,147,166,147,166,0.85,True,False,,gemini-3-flash-preview
510,737,train,Do you believe standing during the pledge of allegiance should be mandatory??:,"i agree with you. unless maybe the person can't for a medical reason, etc. but other than that, yes. SHOW RESPECT FOR OUR COUNTRY! our brave soldiers are willing to go fight for america and risk their lives and some people in here are to lazy to get of their ass to pledge allegiance to the flag. i think its wrong. i will proudly stand for my country and do everything i can to support it.",1,0.9981114864349364,to lazy to get of their ass,233,260,235,262,0.95,True,True,,gemini-3-flash-preview
527,761,train,"Oil, useless now, ban it   stance: oil is now wholly useless, and should be banned for killing the environment:","Oil has long outlived its use. There is enough plastic in existence that simply recycling what is unused could supply more plastic. All plastic is recyclable.
Battery technology has existed for nearly 10 years now that can give a car up to 400 miles on a single charge. That exceeds many gas-run vehicles on the road today.
All production use oil damages the environment, causes numerous diseases, and is the primary cause of global warming.
Oil spills kill hundreds of thousands of animals per year, as they continue to affect the area of the spill decades after it occurred.
Oil is the primary interest of the US in the middle-east. As such, it is the cause of numerous wars.",1,0.9937962293624878,All plastic is recyclable.,132,158,132,158,0.8,True,False,,gemini-3-flash-preview
539,778,train,"Business review: 4.0 stars
business name: playa cabana   hacienda. city: toronto. categories: restaurants, mexican:","My wife and I love this place. We take people here all the time. They just changed the nachos from a wonderfully tasty chip to ones that are meh. For a Mexican place you would think they would stay with what works. Hopefully the other locations do not use these sub par chips. We will not be ordering out guac / salsa / and chips anymore. Why bother,",1,0.9975220561027528,"Why bother,",339,350,339,350,0.9,True,False,,gemini-3-flash-preview
566,814,train,Pro choice vs pro life:,"Giving up a child has to be one of the most responsible decisions a woman can make in her life. Have you any idea the responsibility and maturity it takes to make such an important decision?
If a woman can not support a child(Either emotionally, physically, or financially) she should have right to choose to give up that child.",1,0.9983204007148744,Have you any idea the responsibility and maturity it takes to make such an important decision?,96,190,96,190,0.9,True,False,,gemini-3-flash-preview
567,815,train,Pro choice vs pro life:,"It really depends the situation; if a girl/woman gets raped, it's not fair that she has to keep the child. If a young teen has unprotected sex and ends up with a child, that's her fault for not being prepared.",1,0.630851686000824,that's her fault for not being prepared,169,208,169,208,0.95,True,False,,gemini-3-flash-preview
623,894,train,What do you think is fair punishment for child molesters? what would you do if it was your own child?:,"They should be tortured.....when they castrate them they should do it without giving them pain medication. I don't think it's fair when people get the death penalty all that they ""suffer"" is a little injection by a lethal shot! When they die they have no worries and then we get to pay for it with our tax dollars!! The person/family they commited the crime against usually is tortured and suffereing for the rest of their lives! It should be ""eye for eye tooth for tooth""",1,0.9982677698135376,They should be tortured,0,23,0,23,1.0,True,False,,gemini-3-flash-preview
633,907,train,Cmv: prostitution is between 2 consenting adults and should be legal.:,"Prostitution is between two consenting adults. Say the prostitute is in need of money - it is his/her choice how she earns the money and uses his/her body. To address people who claim prostitutes are ""at the mercy"" of their clients: this makes government regulation even more necessary. For people who associate prostitution with violence and crime (drugs), wouldn't it be much safer if it were legal, regulated and taxed? It would reduce the crime associated with prostitution (although much of the crime stigma is hollywood-created), increase tax revenue and provide safe regulations.",1,0.9985939860343932,hollywood-created,503,520,516,533,0.8,True,True,,gemini-3-flash-preview
647,925,train,Why people in christianity and muslims try too spread their religion are they insecure.   stance: yes:,"Each religion is in the process spreading their count they dont care if they believe from heart.
may be thats the reason why most terrorist are converts,
may thats the reason why most people those who are converts in christianity are poor people.and they aare shown the bait of money.
so wht it is spread of belief or the head count.
i think its the head count.",1,0.9979331493377686,most terrorist are converts,126,153,126,153,0.95,True,False,,gemini-3-flash-preview
684,975,train,Is porn wrong:,"The question is: who has the right to prohibit it? Government? Why would there be any pressing need at all for the state to outlaw pornography? Look at Europe- they're cool with pretty much everything. I don't see any moral depravity in Europe, do you?",1,0.9987179040908812,they're cool with pretty much everything,155,195,160,200,0.9,True,True,,gemini-3-flash-preview
700,1004,train,Pro choice vs pro life:,"My one question...
Why is it we argue for the ""right"" to kill the unborn when the government is taking away our real rights?",1,0.9981266856193542,kill the unborn,58,73,58,73,0.9,True,False,,gemini-3-flash-preview
712,1030,train,"Is anything that is legal,can be considered moral?:","I'm not sure I exactly understand the supposition you're making.  In general, however, I would argue that moral and legal can be viewed as a Venn diagram - an act can be both, one of the other, or neither.  We probably wouldn't want it any other way, actually - hence the saying that ""you can't legislate morality.""",1,0.9978283047676086,I'm not sure I exactly understand the supposition you're making.,0,64,0,64,0.7,True,False,,gemini-3-flash-preview
730,1052,train,Why isn't prostitution legal?:,"I certainly don't fear ""the competition""...Besides the fact that my husband gets it good at home, most of the prostitutes I've seen are FAR from ""very hot chick""...Most of them are drug addicted skanks who stopped trying to have any other skills when they realized they could make money off their own twat.

Personally, I believe that it should be legalized, as this removes much of the mystique and sordidness from the whole situation.  Also, in most places where it's legal, they're tested for diseases on a regular basis, which obviously solves a major problem.",1,0.99834942817688,drug addicted skanks,182,202,181,201,0.95,True,True,,gemini-3-flash-preview
733,1056,train,Cmv: feminism as it exists in the modern era is useless and annoying:,"Today I opened the door for a girl and got screamed at, at 8 in the morning. 

Certainly changes need to be made but not in the way it's being approached now. I don't think I've heard one coherent argument. 

Again, I completely support equality but the beating down of every make you come across surely isn't the best way to accomplish things. It's not like I don't support the movement, I just don't fully understand it (in terms of how the goal is being achieved). And every person I've come across supporting it has been mean spirited and a bit of an asshole

I guess what I'm really looking for is proof of what progress is being made recently, or how the aggressiveness pays off. Thanks in advance for any light that can be shed",1,0.9985203146934508,mean spirited and a bit of an asshole,522,559,529,566,0.9,True,True,,gemini-3-flash-preview
758,1088,train,Should we pay for education or not ?   stance: we should pay for it:,"We should not have to pay for education as it is vital for society to function. If people are unable to afford the price of education there are consequences that will occur; such as many children's futures will disintegrate. Education is what gives people the power to achieve goals and successfullness; What right has anyone got to refuse to educate someone simply because they are unable to provide the funds required?
MJ",1,0.996381402015686,MJ,424,426,422,424,1.0,True,True,,gemini-3-flash-preview
773,1113,train,Is porn wrong:,"well, the people who watch porn,
i guess thats ok, its NORMAL.
but the people who are
IN the porn, that is not normal..
i read it in a abnormal psychology book,
that means they have a disorder",1,0.99739408493042,they have a disorder,177,197,177,197,0.85,True,False,,gemini-3-flash-preview
831,1190,train,"What do you think of this situation, i read it and i didn't agree with the outcome...?:","If that is the entire story then that outcome is completely bogus. There is NOTHING wrong with touching another person on the head, shoulder, leg, back, etc. There is only something wrong when a person touches a ""bad"" place, which CLEARLY was not happening and was not going to happen in the middle of the street. 

What should have happened? The parents should have gotten a lecture on teaching their daughter. The daughter should have gotten a lecture on not running into the street. And the man should have gotten a lecture on smartening up in our lawsuit and sex-crime crazed society. There was no need for any trials or arrests. 

And how is someone who was NOT CONVICTED (ie: innocent) of a crime forced to register as a sex offender? That simply doesn't make any sense at all.",1,0.9977693557739258,"There is NOTHING wrong with touching another person on the head, shoulder, leg, back, etc.",67,157,67,157,0.85,True,False,,gemini-3-flash-preview
835,1194,train,How can i pay child support if i am unable to work ?:,"Get a job.  Your ex has a child or children to support.  How do you expect them to do it and why should they carry your responsibility for it as well?  GET A JOB!

~  Spoken as the ex who is owed a lot of bucks and know how hard it is when a jerk doesn't pay what he owes.

Are you my ex?  If you are, they are looking for you.....

Best Wishes,

Sue",1,0.9986170530319214,jerk,244,248,244,248,0.95,True,False,,gemini-3-flash-preview
857,1230,train,Cmv: i believe that minimum wage constitutes no more or less than the bare minimum effort.:,"If an employer chooses to pay the minimum wage required by law, how can he expect more than what is required? Especially when the job actually requires some skill or intellect in the first place. **Employer** ""Can you give 110% when working?"" **Employee** ""Are you going to pay me 10% extra?"". **Employer** ""No."" **Employee** ""There's your answer then"". **This whole argument is based on those who are only in minimum wage employment for money, it doesn't count if it's an apprenticeship or internship etc**


**EDIT: There is no chance for promotion or raise in bar work, waiting or store retail, these are the minimum wage jobs I speak of.**",1,0.9978914856910706,"There is no chance for promotion or raise in bar work, waiting or store retail",415,493,521,599,0.8,True,True,,gemini-3-flash-preview
861,1235,train,Genocide in darfur; should we send help?   stance: yes:,"I think we should. Think about it. There are innocent people in Darfur who are being slayn without mercy, and we are letting it happen. Consider this: if there was group of terrorists in our homeland, then wouldn't you want help? It's the same scenario for the people in Darfur, they want help, but they aren't getting it.
Also, if we lend a helping hand, then it will put in a good word for the US.",1,0.9967275857925416,slayn without mercy,85,104,85,104,1.0,True,False,,gemini-3-flash-preview
887,1275,train,Should physical education be mandatory in schools:,i think we should have gym because kids get FAT and tubby! its not ok for kids to get fat and tubby!!!!!,1,0.9974857568740844,FAT and tubby,43,56,44,57,0.95,True,True,,gemini-3-flash-preview
915,1318,train,Christianity or atheism:,"Christianity, because I always root for the underdog. The membership of the atheist here is way bigger. Just look at the congregations of both.",1,0.9985471367836,I always root for the underdog,22,52,22,52,0.95,True,False,,gemini-3-flash-preview
958,1381,train,"Cmv: the ""war on terror™"" the biggest scam in the history of the world:","I'm 30, and it seems like for nearly have my life we have ""at war"" with al qaeda/terrorism by way of military adventurism, nation building, and shifting an enormous amount of GDP into military contractors at the expensive of using that GDP to help our own citizens.

It looks to me that the military industrial complex used 9/11 as an excuse to be at war with a very generic concept of ""terrorism"" so in theory the ""war"" would never end since there will always be ""terrorism"" in the world (pre and post 9/11 dating back 1000's of years...).

It also seems like a political tool of the right wing to scare old white conservatives into fearing brown people so they elect the most hawkish neo-con into office to spend even more on military adventurism.
To me, it just seems like a huge scam into spending an enormous amount of money on exactly what Eisenhower warned us about.",1,0.9977338314056396,scare old white conservatives into fearing brown people,541,596,603,658,0.9,True,True,,gemini-3-flash-preview
965,1389,train,Kurt cobain's death   stance: murder:,"I feel that Kurt Cobain was murdered. Here are my reasons.
1. He had enough heroin in his system to kill an adult 3 times over.
2. The so called suicide note had evidence of being written by two different people. Kurt, himself, and another person.
3. Kurt Cobain's credit card was reported being used after his death.
4. There were no usable fingerprints on the weapon. I mean with all the heroin in his system he would not be coherent enough to put on gloves and then shoot himself.
Everyone is entitled to their opinions, but with this kind of evidence, I feel there is no question that he was murdered.",1,0.9974575638771056,no question that he was murdered,577,609,577,609,0.8,True,False,,gemini-3-flash-preview
995,1428,train,Evolution vs creation:,"now tell me this evolution beleivers... how is it that evolution is true, and man kind is currently not evolving? and how is it (for those of you whom HAVE religion), that adam and eve were the first of the human race to walk on this very planet, the 'parents' of mankind? in arabic makind is 'bani adam' which literally means the tribe of adam...",1,0.996794044971466,evolution beleivers...,17,39,17,39,0.85,True,False,,gemini-3-flash-preview
1032,1477,train,Should physical education be mandatory in schools:,"I'm in school and P.E. just make kids unhappy,a lot of people get sad because they are chosen last,they can't play for example I suck at P.E. class I hate I'm always the last to be chosen for the teams and it's not cool and it's not just obese kids there are many obese adults who did P.E. and didn't helped in anything",1,0.997525155544281,didn't helped in anything,285,310,294,319,0.85,True,True,,gemini-3-flash-preview
1072,1534,train,Cmv: the scottish independence movement are akin to women who scream for equal rights but only when it suits them:,"As far as I can see, they want independence but they want to stay in NATO and the UN, they also want to keep the pound as well as all of the infrastructure that we've (the UK) have built up such as the NHS, military, police, fire services etc.

My view at the moment is that if they vote for independence they should get complete independence.  A full and immediate cease of all funding from the UK government to Scotland and Scottish nationals, immigration controls, them not being allowed to use the pound, be expelled from the UN/NATO (and have to reapply to join if they wanted to), the immediate withdrawal of the NHS and other services such as British police/fire services and armed forces.

At the moment they seem to be like petulant kids that are biting the hand that feeds them.

Of course, if this is incorrect I would love to be corrected.  I'm not interested in being wilfully ignorant.",1,0.9637372493743896,petulant kids,745,758,737,750,0.95,True,True,,gemini-3-flash-preview
1107,1584,train,Is porn wrong:,"What do you see in porn?
-> sex
What is sex for?
-> baby making
why should you watch others make baby?
-> pleasure
what causes pleasure?
-> temptation
what do you do to control temptation?
-> then do it...
conclusion: Porn is in a situation where there is temptation to increase the population of the next generation... wow.",1,0.9977391958236694,wow.,332,336,330,334,0.9,True,True,,gemini-3-flash-preview
1116,1596,train,Is porn wrong:,I don't feel degraded by porn. You don't like it? Don't watch it. There are more importhant jobs in life than to be my personal morality police.,1,0.9983654618263244,personal morality police,118,142,119,143,0.9,True,True,,gemini-3-flash-preview
1155,1653,train,Do you think the bush administration should be able to spy on millions unfettered?:,"Web Master has a point. Not only is it unethical, it resembles the workings of Stalin during the Cold War. But this isnt too unusual. HE seems to make bad and at that HORRIBLE descisions in the oval office, starting with rigging the election. This is a catastrophe, and it doesnt suprise me that his idea of public safety is ruining, ending, and controlling the lives of his citizens, letting the REAL bad guys reign havoc, and be done in time to kill some more of his own people and innocent civilians elsewhere.",1,0.9986724853515624,kill some more of his own people,454,486,447,479,0.9,True,True,,gemini-3-flash-preview
1191,1703,train,Are the people of london just stupid?   stance: well of course they are!:,"I'm not entirely sure if the creator of this debate had a specific event in mind when they posted it but I'm willing to take part regardless.
I don't feel I can vote for the ""well of course"" option but, I can say that at least 5.3% is bloody stupid for voting for the BNP.
Speaking of stupid, there is a capital 'L' in London!",1,0.9977028965950012,bloody stupid,237,250,236,249,0.9,True,True,,gemini-3-flash-preview
