post_id,source_dataset,issue,post_text,Inappropriateness,Toxic Emotions,Excessive Intensity,Emotional Deception,Missing Commitment,Missing Seriousness,Missing Openness,Missing Intelligibility,Unclear Meaning,Missing Relevance,Confusing Reasoning,Other Reasons,Detrimental Orthography,Reason Unclassified,fold0.0,split,global_row_id,p_appropriate,p_inappropriate,predicted_label
1943,0,Human growth and development should parents use spanking as an option to discipline:,I disagree on the parents use spaking as an option to dicipline because the childrens are not going to be scare of what their parents are going to them and also because if you do that to your childrens are learning what their parents show them and also because that is not going to help that much the childrens,1,0,0,0,0,0,0,0,0,0,0,1,1,0,TRAIN,train,1355,0.0019913353025913,0.998008668422699,LABEL_1
1030,1,"Is anything that is legal,can be considered moral?:","I'm not sure I exactly understand the supposition you're making.  In general, however, I would argue that moral and legal can be viewed as a Venn diagram - an act can be both, one of the other, or neither.  We probably wouldn't want it any other way, actually - hence the saying that ""you can't legislate morality.""",1,0,0,0,0,0,0,1,1,0,0,0,0,0,TRAIN,train,712,0.0021716447081416,0.9978283047676086,LABEL_1
263,1,Should it be legal to burn the flag?:,"I don't like the idea of burning the flag, but the freedom it's supposed to represent, should allow someone to do so if they  want to. After all, what is being destroyed is only a piece of cloth. Making a law which prohibits us from burning the flag does much more damage than the act itself. You lose so much more by taking away people's freedom.

LVprincess - ""yea okay we have freedom of expression and speech and all that crap"" 

If you think freedom of speech is crap, then maybe your the one who needs to move.",1,1,0,1,0,0,0,0,0,0,0,0,0,0,TRAIN,train,180,0.0014333539875224,0.9985666871070862,LABEL_1
907,2,Cmv: prostitution is between 2 consenting adults and should be legal.:,"Prostitution is between two consenting adults. Say the prostitute is in need of money - it is his/her choice how she earns the money and uses his/her body. To address people who claim prostitutes are ""at the mercy"" of their clients: this makes government regulation even more necessary. For people who associate prostitution with violence and crime (drugs), wouldn't it be much safer if it were legal, regulated and taxed? It would reduce the crime associated with prostitution (although much of the crime stigma is hollywood-created), increase tax revenue and provide safe regulations.",1,0,0,0,0,0,0,1,1,0,0,0,0,0,TRAIN,train,633,0.001405979739502,0.9985939860343932,LABEL_1
2022,2,If jimmy carter's daring attempt to rescue us hostages in iran had not failed   stance: the us and therefore the world would be a much better place:,"Operation Eagle Claw failed due to adverse weather conditions in the desert causing damage to most of the helicopters attempting rescue of the US hostages held at the US Embassy in Iran, not due to poor planning or inadequacies by the military or the administration. Naturally Carter would've easily won re-election and Ray Gun would not have been elected. Since 1980, 20 of the 32 years have been republican presidencies and since 1968, 28 of the 44 years have been with a republican president.",1,1,1,0,1,0,1,1,0,1,0,0,0,0,TRAIN,train,1406,0.2912455201148987,0.7087544798851013,LABEL_1
1230,2,Cmv: i believe that minimum wage constitutes no more or less than the bare minimum effort.:,"If an employer chooses to pay the minimum wage required by law, how can he expect more than what is required? Especially when the job actually requires some skill or intellect in the first place. **Employer** ""Can you give 110% when working?"" **Employee** ""Are you going to pay me 10% extra?"". **Employer** ""No."" **Employee** ""There's your answer then"". **This whole argument is based on those who are only in minimum wage employment for money, it doesn't count if it's an apprenticeship or internship etc**


**EDIT: There is no chance for promotion or raise in bar work, waiting or store retail, these are the minimum wage jobs I speak of.**",1,0,0,0,0,0,0,1,1,0,0,0,0,0,TRAIN,train,857,0.0021085657645016,0.9978914856910706,LABEL_1
1807,1,Do i have a case for small claims?:,"*shakes head in disbelief*  Why do people answer questions when they have absolutely no idea what they are talking about?

Don't bother consulting a lawyer on this one.  It would cost you too much.  This is exactly what small claims is designed for -- someone like you with a case small enough that lawyers should not be involved.

Sue.  On the complaint, spell out the facts of your case and then ask for alternative relief.  Meaning -- ask for the car to be put in your name.  Then put down that if the court denies you the car, that you are asking for all payments made on the car to be returned to you.  Assuming the facts as you have presented them are true, then the court will almost certainly grant you one fo these two remedies, possibly with interest.",1,0,0,0,1,0,1,1,0,1,0,0,0,0,TRAIN,train,1263,0.0020343465730547,0.997965693473816,LABEL_1
589,2,Cmv: the government should stop recognizing all marriages.:,"I really see no benefits in governmen recognition of marriages. 

First, the benefits: no more fights about what marriage is. If you want to get married by your church - you still can. If you want to marry your homosexual partner in a civil ceremony - you can. Government does not care. Instant equality.

Second, this would cut down on bureaucracy. No marriage - no messy divorces. Instant efficiency.

Now to address some anticipated counter points:

The inheritance/hospital visitation issues can be handled though contracts (government can even make it much easier to get/sign those forms.) If you could take time to sign up for the marriage licence, you can just as easily sign some contract papers.

As for the tax benefits: why should married people get tax deductions?  Sounds pretty unfair to me. If we, as a society want to encourage child rearing - we can do so directly by giving tax breaks to people who have and rare children, not indirectly through marriage.

CMV.",1,0,0,0,1,0,1,1,1,0,0,0,0,0,TRAIN,train,411,0.001609698170796,0.9983903169631958,LABEL_1
1703,2,Are the people of london just stupid?   stance: well of course they are!:,"I'm not entirely sure if the creator of this debate had a specific event in mind when they posted it but I'm willing to take part regardless.
I don't feel I can vote for the ""well of course"" option but, I can say that at least 5.3% is bloody stupid for voting for the BNP.
Speaking of stupid, there is a capital 'L' in London!",1,1,1,1,1,0,1,0,0,0,0,0,0,0,TRAIN,train,1191,0.0022971567232161,0.9977028965950012,LABEL_1
673,0,Is the school uniform a good or bad idea:,"yas,of course . School uniform is important
1.school uniform is a logos for our school
2.to remind us that we are part of the school
3.and if we use the uniform basically student used to think what are they gonna do to, is it positive or negative
4.in the morning we should use our uniform and if were not use our uniform the teacher give us a punishment and from that we can learn to be a discipline student
5.if we go out from the school than the teacher will see we used the school uniform so people will know that we from that school
thankyou",1,0,0,0,0,0,0,1,0,0,1,1,1,0,TRAIN,train,469,0.0219449717551469,0.9780550599098206,LABEL_1
2011,2,"Immigrayion   stance: the u.s. needs more strict, forceful immigration policies:","American politicians have turned a blind eye to illegal immigration for too long. Crime is rampant on the border states and illegals are taking our jobs. On top of that our tax money goes to pay for their childrens public education and ER visits. They don't pay into the system but steal from it. Their very status should say it all --illegal--
We need states to become more active in arresting illegals, more troops on the border, a fence, and a revision to citizenship ""those who are born here = automatic citizens.""",1,1,1,1,1,0,1,0,0,0,0,0,0,0,VALID,validation,1738,0.0014617923879995,0.9985382556915284,LABEL_1
503,0,Evolution vs creation:,There is not God. I just use him in my arguments to make sarcastic comments. Sorry.,1,0,0,0,1,1,1,1,0,1,0,0,0,0,TRAIN,train,352,0.0020549842156469,0.9979450106620787,LABEL_1
133,2,0% gun tolerance on the streets in the us   stance: anti guns:,"Unless every single gun that is issued legally is tested with ballistics before being issued so that any bullet fired from a licensed gun can be traced, if found intact, then guns pose a threat because there is no way for those bullets to be traced back to owners so they can account for the shots they fired. It's like giving someone a jaguar as long as they promise to never let it out of their site. It's bull sh*t.",1,1,1,0,0,0,0,1,0,1,0,0,0,0,TRAIN,train,96,0.0053907539695501,0.994609236717224,LABEL_1
248,1,This question is for pro life and pro choice abortion?:,"If the other 97% were banned, wouldn't those women start saying that they were raped, it was a case of incest, or that their health would not tolerate it?

And then women would use metal hangers again, quite unhealthy.

I do agree that cutting down on abortions in the US would be good.  Birth control should be administered to anyone having sex.",1,0,0,0,0,0,0,1,1,0,0,0,0,0,TRAIN,train,172,0.0013935421593487,0.998606503009796,LABEL_1
719,1,Is humanity in the final steps of becoming into slavery?:,"Thanks for bringing up this important issue.
Most of the things you mentioned have beneficial uses.  The danger if they are misused.  I think the Bush administration has demonstrated how our rights can be undermined.  They are talking of retaining the prisoners in Cuba for the rest of their lives, without charges or benefit of legal defense.
The only way to protect our rights is to participate in the process of government.  I hope anyone who reads this is ready to defend liberty with their vote on the 7th.",1,1,0,1,0,0,0,1,0,1,0,0,0,0,TRAIN,train,498,0.0032466517295688,0.9967532753944396,LABEL_1
1745,0,Is porn wrong:,"The argument that porn would expose one to the reality in life, and thus increasing one's maturity and prevent possible future sexual assaults, is totally crap.
porn is definitely wrong. after a dosage, the guilt of wasting ur time, wasting energy, wasting effort and not devoting urself to another thing and regretting that you should not have started would almost kill you. trust me.
its a road that shld not be taken, its as bad as smoking and dugs. i think the only reason its not banned in most developed countries is that they are facing an aging population.",1,0,0,0,1,0,1,1,0,1,0,0,0,0,TRAIN,train,1218,0.0016844549681991,0.9983155727386476,LABEL_1
2081,0,Gay marriage right or wrong:,"Is incestual marriage right or wrong? Does gay marriage include incestual homosexual marriage?
Which country legalized homosexual unions which lead to a lower marriage rate?",1,0,0,0,1,1,0,1,1,1,0,0,0,0,VALID,validation,1744,0.0027976646088063,0.9972023963928224,LABEL_1
123,2,"Cmv: the minute you intentionally put a person's life at risk, you forfeit your own  if you threaten in a deadly manner, you deserve to die.:","These days, we grant more rights to convict's than we ever have.  While I appreciate people make mistakes, I believe some actions should have permanent consequences, and that we have morally compromised ourselves in making exceptions to this.  I fundamentally contradict that every individual has a right to live- if you are willing to put someone else right to life in jeopardy, then you have demonstrated that you are a net negative impact to society, and that as a whole we would all be better off if you were dead.  

Edited for nuance- you guys have made some good examples of grey areas- I'm not disputing that.  This is more a question of the principle.  Let's go ahead and refine this further- in the moment of endangering another individuals life, with out extenuating circumstances such as mental illness or protecting others, then in that moment society has a prerogative to take your life. ",1,0,0,0,1,0,1,0,0,0,0,0,0,0,TRAIN,train,88,0.0028648558072745,0.9971351623535156,LABEL_1
364,0,Gay marriage right or wrong:,"For anyone who tries to follow these threads of arguments and rebuttals, it looks like chasbas' argument which I rebutted on Feb 07, 2007 07:09 has been deleted, presumably by chasbas. I wish the argument/rebuttal system on the site were better.",1,0,0,0,0,0,0,1,1,1,0,0,0,0,TRAIN,train,254,0.0275195371359586,0.9724804759025574,LABEL_1
276,2,Cmv: i don't believe climate change is happening.:,"To clarify, I don't believe the World's climate is static and unchanging, I just don't think it is nearly as dramatic as the media says. I dispute any major warming in recent times, and believe the whole climate change agenda is simply environmental lobbyists backed by politicians who can no longer refute the issue and still maintain their credibility. I used to be into the scientific side of it a lot, but I haven't for a while, although I will be corresponding with a mate of mine who is of the same opinion as me who is knowledgeable in the science. 

I have a fundamental distrust of most of the media in Australia (where I live), but I can't comment on the American media. I think it would be political suicide for any politician considering climate change 'denialists' are being hounded down by pretty much everyone. 

Skepticism and opposition to conventional scientific thinking is only a good thing, and I think the extent to which any skepticism of climate change is disregarded is appalling. ",1,0,0,0,1,0,1,0,0,0,0,0,0,0,TRAIN,train,189,0.0038240042049437,0.99617600440979,LABEL_1
1534,2,Cmv: the scottish independence movement are akin to women who scream for equal rights but only when it suits them:,"As far as I can see, they want independence but they want to stay in NATO and the UN, they also want to keep the pound as well as all of the infrastructure that we've (the UK) have built up such as the NHS, military, police, fire services etc.

My view at the moment is that if they vote for independence they should get complete independence.  A full and immediate cease of all funding from the UK government to Scotland and Scottish nationals, immigration controls, them not being allowed to use the pound, be expelled from the UN/NATO (and have to reapply to join if they wanted to), the immediate withdrawal of the NHS and other services such as British police/fire services and armed forces.

At the moment they seem to be like petulant kids that are biting the hand that feeds them.

Of course, if this is incorrect I would love to be corrected.  I'm not interested in being wilfully ignorant.",1,1,1,1,0,0,0,0,0,0,0,0,0,0,TRAIN,train,1072,0.0362627059221267,0.9637372493743896,LABEL_1
567,1,Should same sex parents be able to have kids?:,"In my opinion, no. How would that effect the child is the first concern. When the child is small wouldn't be the issue, but as he/she entered school it would most defiantly get ridiculed by the other kids and have emotional stress/problems from this. This would really confuse the kid! I don't care what anyone says, a child needs a MOTHER and a FATHER. Not two women, and not two men.",1,1,1,1,1,0,1,0,0,0,0,0,0,0,TRAIN,train,394,0.0024138821754604,0.9975861310958862,LABEL_1
193,0,Is porn wrong:,"I note that whenever someone starts in on the ""Porn is ebil 'n' degrading"" spiel, they focus exclusively on women.
As if there's no such thing as porn *actors*. (What, men don't count?)
Porn is a form of entertainment. No more. No less. Any arguement otherwise is just ""Feminist"" bullsh*t.",1,1,1,1,1,0,1,0,0,0,0,0,0,0,TRAIN,train,135,0.0016491046408191,0.9983508586883544,LABEL_1
965,0,Should physical education be mandatory in schools:,You are 100% right because I am in Pe and they make us wear these stupid outfits. I think they make us wear those so the Gay coaches can see our private parts. and PE is just Stupid,1,1,1,1,1,1,1,1,1,1,0,0,0,0,TEST,test,1951,0.001771600334905,0.9982283711433412,LABEL_1
1596,0,Is porn wrong:,I don't feel degraded by porn. You don't like it? Don't watch it. There are more importhant jobs in life than to be my personal morality police.,1,0,0,0,0,0,0,1,1,0,0,0,0,0,TRAIN,train,1116,0.001634546671994,0.9983654618263244,LABEL_1
660,0,Firefox vs internet explorer:,Chorme beats all its the fastest and the safest plus its also open source like firefox,1,0,0,0,0,0,0,1,0,1,0,0,0,0,TRAIN,train,458,0.0028683703858405,0.9971315860748292,LABEL_1
431,2,"Cmv: i believe that after a marriage is over, both parties should walk away without receiving anything, for example alimony, from their ex.:","After a marriage ends, if a pre-nup wasn't signed that is, one partner usually receive alimony from the other. I think this is wrong, and selfish of the people who receive them.

If someone gets a divorce from someone, they want nothing to do with that person again, and yet they are forced to continue to hand them their hard worked for money. It's stupid I think.

If a person knows that if they divorce someone, they will have to work out their lifestyle on their own, it would help them really consider their choice and options. 

Obviously if they had kids together the partner should send the person the kids are mostly with child support to help take care of the children, but money just to take care of the adult they didn't want to be with anymore? hell no. They can get a job.

CMV!

_____
",1,1,1,0,1,0,1,0,0,0,0,0,0,0,TRAIN,train,301,0.0019446210935711,0.9980554580688475,LABEL_1
2021,2,Dogs or cats   stance: cats:,"Cats, definitely. They are independent. You don't have to take them everywhere you go and have to watch them and make sure they eat and use the facilities because they can't on their own.
Cats are amazing animals and pets. They aren't always happy like dogs are, almost to the point where they are too stupid to know the difference.
""Cats make you work for their affection, they don't sell-out like dogs do"" Jack Burns from Meet the Parents!
With cats, there is no cleaning up the yard, having to walk a dog and cleaning up their sh$t, no loud-ass barks in the middle of the night, no slobbering all over the place, no puppies pissing all over the floor, etc.
Cats are adorable creatures.
Dogs are...well....:sigh; dogs!",1,1,1,0,1,0,1,0,0,0,0,0,0,0,TEST,test,2161,0.0030794646590948,0.9969205856323242,LABEL_1
